artist_name,artist_id
Twenty One Pilots,1021
The Killers,1022
LMFAO,1023
Def Leppard,1024
Tsuko G.,1025
Van Halen,1026
TOTO,1027
Duran Duran,1028
Whitesnake,1029
Fountains Of Wayne,1030
Creedence Clearwater Revival,1031
Michael Jackson,1032
Rascal Flatts,1033
The White Stripes,1034
Bon Jovi,1035
The Proclaimers,1036
Daryl Hall & John Oates,1037
Florida Georgia Line,1038
Neon Trees,1039
AC/DC,1040
Scorpions,1041
Journey,1042
Electric Light Orchestra,1043
Blondie,1044
John Denver,1045
The Cab,1046
Josh Thompson,1047
Billy Joel,1048
Bleachers,1049
Barenaked Ladies,1050
Twisted Sister,1051
Cutting Crew,1052
Queen,1053
Boston,1054
R.E.M.,1055
The Outfield,1056
Guns N' Roses,1057
The Deep Dixie Boys,1058
Coolio,1059
LÉON,1060
K.Flay,1061
Maisie Peters,1062
Terror Jr,1063
EXES,1064
bülow,1065
Lennon Stella,1066
Brooke Alexx,1067
Evan Blum,1068
Mating Ritual,1069
88rising,1070
Girl Wilde,1071
GALXARA,1072
Jack Newsome,1073
Meg & Dia,1074
L Devine,1075
Whethan,1076
Ashe,1077
More Giraffes,1078
The Script,1079
Hazey Eyes,1080
Trynket,1081
Refs,1082
Frawley,1083
Thomston,1084
IRIS,1085
Brooke Sierra,1086
Joseph Tilley,1087
Jena Rose,1088
Julian Daniel,1089
Ben Zaidi,1090
SONIA,1091
Cashmere Cat,1092
CALI JEWLS,1093
Sigrid,1094
REYNA,1095
Mokita,1096
James Quick,1097
Emily Vaughn,1098
RUFUS,1099
Rat City,1100
Kito,1101
Phil Good,1102
Ekali,1103
Wells*,1104
Chymes,1105
Allie X,1106
Deborah's Child,1107
Parson James,1108
Grey,1109
Hearts & Colors,1110
Becoming Young,1111
Fly By Midnight,1112
Olivia O'Brien,1113
Transviolet,1114
Glass Animals,1115
Sam Tsui,1116
prettyboyshav,1117
Annika Grace,1118
Kid Elliot,1119
Yoshi Flower,1120
Josh Arce,1121
Lauren Sanderson,1122
Oscar Louis,1123
ÊMIA,1124
Dillistone,1125
Lee Bowie,1126
Vanessa Carlton,1127
Rachel Platten,1128
Simple Plan,1129
The Click Five,1130
Paramore,1131
Melodyia Music,1132
Owl City,1133
Sean Kingston,1134
Gym Class Heroes,1135
Jason Mraz,1136
Colbie Caillat,1137
Shakira,1138
Jacques Renault,1139
a-ha,1140
Lipps Inc.,1141
Nena,1142
The Cardigans,1143
Eurythmics,1144
CeCe Peniston,1145
Jamiroquai,1146
Childish Gambino,1147
Bloodhound Gang,1148
Mohombi,1149
DJ Casper,1150
Christina Milian,1151
Kraantje Pappie,1152
Enrique Iglesias,1153
Michel Teló,1154
Iggy Azalea,1155
De Jeugd Van Tegenwoordig,1156
Iyaz,1157
Boef,1158
Timbaland,1159
Fetty Wap,1160
Drake,1161
Naughty Boy,1162
Café Amargo,1163
Sigma,1164
Klaxons,1165
Blonde,1166
Wankelmut,1167
Bomfunk MC's,1168
The Magician,1169
Route 94,1170
Kungs,1171
Secondcity,1172
Netsky,1173
Room 5,1174
Karen Harding,1175
Joe Stone,1176
MIKA,1177
Chiddy Bang,1178
Robin Thicke,1179
Kendrick Lamar,1180
Vic Mensa,1181
Desiigner,1182
Esko,1183
Lil Kleine,1184
Mr. Belt & Wezol,1185
Tujamo,1186
Yeah Yeah Yeahs,1187
Asaf Avidan & the Mojos,1188
Portugal. The Man,1189
Young Fathers,1190
Echosmith,1191
LANY,1192
Ross Lynch,1193
Jordan Fisher,1194
Bella Thorne,1195
Jeff Lewis,1196
Troy,1197
Spencer Lee,1198
Maia Mitchell,1199
Teen Beach Movie Cast,1200
CHAD,1201
Sharpay Evans,1202
Margaret Durante,1203
Drew Ryan Scott,1204
Milo Manheim,1205
Jasmine Sagginario,1206
Grace Phipps,1207
Of Monsters and Men,1208
Shake,1209
YG,1210
Christian Leave,1211
Big Sean,1212
Pharrell Williams,1213
He Is We,1214
Don Omar,1215
Kid Cudi,1216
Macklemore & Ryan Lewis,1217
Lil Jon,1218
Nayer,1219
Baby Blue,1220
Gwen Stefani,1221
G-Eazy,1222
Luis Fonsi,1223
Dolapdere Big Gang,1224
Ylvis,1225
